d1,d1,pval
Ethanol_yield_0,Ethanol_yield_104,0.01922
Ethanol_yield_0,Ethanol_yield_105,0.079
Ethanol_yield_0,Ethanol_yield_106,0.00696
Ethanol_yield_104,Ethanol_yield_105,0.65172
Ethanol_yield_104,Ethanol_yield_106,0.38462
Ethanol_yield_105,Ethanol_yield_106,0.26176
Productivity_0,Productivity_104,0.07998
Productivity_0,Productivity_105,0.07866
Productivity_0,Productivity_106,0.1054
Productivity_104,Productivity_105,0.58758
Productivity_104,Productivity_106,0.45004
Productivity_105,Productivity_106,0.37462
Biomass_0,Biomass_104,0.65562
Biomass_0,Biomass_105,0.46784
Biomass_0,Biomass_106,0.6698
Biomass_104,Biomass_105,0.26048
Biomass_104,Biomass_106,0.51678
Biomass_105,Biomass_106,0.75964
Organic_acids_0,Organic_acids_104,0.28946
Organic_acids_0,Organic_acids_105,0.17526
Organic_acids_0,Organic_acids_106,0.0022
Organic_acids_104,Organic_acids_105,0.28856
Organic_acids_104,Organic_acids_106,0.00296
Organic_acids_105,Organic_acids_106,0.01244
Glycerol_0,Glycerol_104,0.4251
Glycerol_0,Glycerol_105,0.54362
Glycerol_0,Glycerol_106,0.84442
Glycerol_104,Glycerol_105,0.61052
Glycerol_104,Glycerol_106,0.89118
Glycerol_105,Glycerol_106,0.78716
Viability_0,Viability_104,0.16388
Viability_0,Viability_105,0.50876
Viability_0,Viabiity_106,0.11236
Viability_104,Viability_105,0.7691
Viability_104,Viabiity_106,0.25198
Viability_105,Viabiity_106,0.18158
