	Yeast_level	sp1	sp2st1	sp2st2	sp2st3	sp3	sp4	sp5	sp6	sp7	sp8	Yield_Average	Yield_SD	Yield_Rank	Yeast_Average	Yeast_SD	Bac_Average	Bac_SD	Yeast_RA_Av	Yeast_RA_SD	Bac_RA_Av	Bac_RA_SD	rank_yeastAV	rank_bacAV	rank_yeastRA	rank_bacRA
yeast	100	0	0	0	0	0	0	0	0	0	0	89.76	0.23	54	1.4611944e+007	1401091	0	0	100	0	0	0	99	15	99	15
yeast+sp2st1/100	100	0	1	0	0	0	0	0	0	0	0	87.46	1.68	42	1.1491333e+007	1036925	1173667	543250.9	90.56316	4.516461	9.436837	4.516461	75	94	21	96
yeast+sp2st2/100	100	0	0	1	0	0	0	0	0	0	0	91.38	3.04	69	1.1861667e+007	759852.8	910666.7	369700.2	92.78804	3.017142	7.211965	3.017142	88	90	26	93
yeast+sp1/100	100	1	0	0	0	0	0	0	0	0	0	92.79	1.35	86	1.2465333e+007	1285254	976000	151290	92.71383	1.013181	7.286172	1.013181	95	91	25	76
yeast+sp5/100	100	0	0	0	0	0	0	1	0	0	0	90.35	0.15	60	9888000	1569242	1299000	225877.5	87.97117	3.585018	12.02883	3.585018	32	95	19	95
yeast+sp2st1+sp1/100	100	1	1	0	0	0	0	0	0	0	0	69.73	3.7	19	9921667	768852.1	1161000	260853.7	89.64031	1.482688	10.35969	1.482688	35	93	20	89
yeast+sp2st2+sp1/100	100	1	0	1	0	0	0	0	0	0	0	89.31	0.48	51	1.0639333e+007	854800.7	2085000	703412.2	83.63571	5.319543	16.36429	5.319543	54	96	18	97
yeast+sp2st2+sp1+sp5/100	100	1	0	1	0	0	0	1	0	0	0	91.49	0	73	1.0474333e+007	542918.2	2779667	1136567	79.60504	6.327694	20.39496	6.327694	50	98	16	98
yeast+sp2st1+sp1+sp5/100	100	1	1	0	0	0	0	1	0	0	0	71.12	2.54	20	9821667	1089682	2109667	1202711	82.42412	10.00433	17.57588	10.00433	29	97	17	99
yeast+sp2st3/100	100	0	0	0	1	0	0	0	0	0	0	85.1	0.82	36	9703667	146256.2	590666.7	135632.7	90.9	0.030224	9.101282	0.030224	27	87	22	16
yeast+sp7/100	100	0	0	0	0	0	0	0	0	1	0	85.86	0.89	38	1.0088e+007	403644.2	850000	104124.9	94.28647	1.22133	5.713528	1.22133	40	89	28	84
yeast+sp8/100	100	0	0	0	0	0	0	0	0	0	1	83.92	0.53	35	9693000	606867.9	5622000	458323.8	92.19716	1.171388	7.802835	1.171388	26	99	24	82
yeast+sp3/100	100	0	0	0	0	1	0	0	0	0	0	89.6	1.65	53	1.1104e+007	467527.5	1051000	82101.56	63.3134	1.026198	36.6866	1.026198	66	92	15	78
yeast+sp6/100	100	0	0	0	0	0	0	0	1	0	0	88.58	1.1	45	9769667	1005552	422666.7	24073.96	91.34815	0.672548	8.651851	0.672548	28	83	23	67
yeast+sp4/100	100	0	0	0	0	0	1	0	0	0	0	91.71	1.46	76	1.1437333e+007	1924506	570888.9	300557.7	95.56371	1.718764	4.436286	1.718764	74	86	31	90
yeast+sp2st1+sp4/100	100	0	1	0	0	0	1	0	0	0	0	90.03	1.02	56	1.1103778e+007	1723914	266000	111204.8	97.77005	0.698355	2.229946	0.698355	65	74	41	70
yeast+sp2st1+sp3/100	100	0	1	0	0	1	0	0	0	0	0	90.52	0.63	61	1.1368444e+007	1331163	90000	41497.88	99.25012	0.297564	0.749877	0.297564	70	36	83	47
yeast+sp2st1+sp6/100	100	1	1	0	0	0	0	0	1	0	0	94.03	0.51	92	1.1629111e+007	1703698	88444.44	35466.56	99.27723	0.217372	0.722774	0.217372	83	34	86	36
yeast+sp2st1+sp1+sp3/100	100	1	1	0	0	1	0	0	0	0	0	85.58	2.02	37	1.0734e+007	1354475	75777.78	22206.66	99.30722	0.154814	0.692778	0.154814	60	27	89	27
yeast+sp2st1+sp1+sp6/100	100	1	1	0	0	0	0	0	1	0	0	89.13	0.32	48	1.0208444e+007	1776283	184000	86955.08	98.33793	0.61056	1.662069	0.61056	44	58	54	65
yeast+sp2st1+sp1+sp4/100	100	1	1	0	0	0	1	0	0	0	0	90.1	2.33	58	9936889	1347161	287555.6	138200.4	97.33409	1.088965	2.665906	1.088965	36	78	35	79
yeast+sp2st1+sp1+sp4+sp5/100	100	1	1	0	0	0	1	1	0	0	0	91.95	1.77	79	1.0187333e+007	1900076	234888.9	80543.22	97.8074	0.49226	2.192603	0.49226	43	69.5	43	56
yeast+sp2st1+sp1+sp5+sp3/100	100	1	1	0	0	1	0	1	0	0	0	81.33	1.38	29	1.1623556e+007	1638181	240666.7	148701	98.10413	1.113941	1.895875	1.113941	82	71	48	81
yeast+sp2st1+sp1+sp3+sp6/100	100	1	1	0	0	1	0	0	1	0	0	92.12	2.2	81	1.0898e+007	1126238	113555.6	30289.14	98.9874	0.179778	1.012595	0.179778	61	45	73	30
yeast+sp2st1+sp1+sp4+sp6/100	100	1	1	0	0	0	1	0	1	0	0	79.88	4.34	25	1.2211556e+007	1932233	19777.78	6308.92	99.84036	0.037499	0.159638	0.037499	93	16	98	18
yeast+sp2st1+sp1+sp5+sp6/100	100	1	1	0	0	0	0	1	1	0	0	91.27	0.77	68	9174222	877590.4	101111.1	27975.3	98.92694	0.222823	1.073059	0.222823	21	40	71	38
yeast+sp2st1+sp1+sp3+sp6/100	100	1	1	0	0	1	0	0	1	0	0	92.11	3.25	80	1.0933111e+007	2231823	65333.33	9843.215	99.39494	0.067566	0.60506	0.067566	62	22	92	20
yeast+sp2st1+sp1+sp5+sp3+sp6/100	100	1	1	0	0	1	0	1	1	0	0	93.95	1.07	91	1.0255778e+007	627485.4	87111.11	27847.91	99.17111	0.230815	0.828891	0.230815	47	33	81	39
yeast+sp2st1+sp1+sp4+sp5+sp3+sp6/100	100	1	1	0	0	1	1	1	1	0	0	92.58	1.55	84	1.0070667e+007	663779.7	157555.6	56540.6	98.48654	0.486123	1.513464	0.486123	39	56	56	54
yeast+sp2st1+sp4+sp5/100	100	1	1	0	0	0	1	1	0	0	0	93.89	0.85	90	1.1586222e+007	2440784	254000	89642.91	97.92872	0.356853	2.071278	0.356853	80	72	46	51
yeast+sp2st1+sp4+sp5+sp3/100	100	0	1	0	0	1	1	1	0	0	0	93.72	1.31	89	9561333	1265680	184888.9	68052.99	98.1599	0.490745	1.840102	0.490745	22	59	50	55
yeast+sp2st1+sp4+sp5+sp3+sp6/100	100	0	1	0	0	1	1	1	1	0	0	92.51	4.31	83	8550889	753133.6	319555.6	200086.2	96.45351	2.185286	3.546489	2.185286	19	81	32	92
yeast+sp2st1+sp4+sp3/100	100	0	1	0	0	1	1	0	0	0	0	94.82	2.28	94	1.1174667e+007	1842765	314000	155818.5	97.35957	1.206475	2.640432	1.206475	67	79	37	83
yeast+sp2st1+sp4+sp6/100	100	0	1	0	0	0	1	0	1	0	0	90.08	1.75	57	1.0222e+007	1362542	283111.1	98622.11	97.37785	0.65016	2.622147	0.65016	46	77	38	66
yeast+sp2st1+sp5+sp3/100	100	0	1	0	0	1	0	1	0	0	0	89.51	2.71	52	1.0714889e+007	1258347	119555.6	45006.45	98.92231	0.329333	1.077689	0.329333	58	48	70	50
yeast+sp2st1+sp5+sp3+sp6/100	100	0	1	0	0	1	0	1	1	0	0	93.69	2.87	88	9879111	1600634	88888.89	41648.74	99.14911	0.25195	0.850894	0.25195	31	35	78	42
yeast+sp2st1+sp5+sp6/100	100	0	1	0	0	0	0	1	1	0	0	85.96	8.11	40	1.0491778e+007	1580985	94444.44	10389.93	99.102	0.042704	0.897999	0.042704	51	38	74	19
yeast+sp2st2+sp4/100	100	0	0	1	0	0	1	0	0	0	0	88.47	1.18	44	1.0160222e+007	1434643	234888.9	91849.04	97.79944	0.682995	2.200563	0.682995	42	69.5	42	68
yeast+sp2st2+sp3/100	100	0	0	1	0	1	0	0	0	0	0	88.91	0.97	47	1.0042222e+007	1022608	106444.4	59085.21	98.97578	0.499777	1.024219	0.499777	38	41	72	58
