Co_fermentations;Yeast_level;sp1;sp2st1;sp2st2;sp2st3;sp3;sp4;sp5;sp6;sp7;sp8;Yield_Average;Yield_SD;Yield_Rank;Yeast_Average;Yeast_SD;Bac_Average;Bac_SD;Yeast_RA_Av;Yeast_RA_SD; Bac_RA_Av;Bac_RA_SD;rank_yeastAV;rank_bacAV;rank_yeastRA;rank_bacRA
sp2st1;10;0;1;0;0;0;0;0;0;0;0;68.89322049;1.183078472;47;9342000;3785333.333;71.3949965;6.590439353;28.6050035;6.590439353;40;99;22;99;;
sp2st2;10;0;0;1;0;0;0;0;0;0;0;66.73859109;1.970157705;70;11454666.67;2480333.333;82.17706458;1.812702604;17.82293542;1.812702604;95;92;28;93;;
sp1;10;1;0;0;0;0;0;0;0;0;0;69.72211331;1.90866714;61;12812000;2592000;83.34134413;2.143337872;16.65865587;2.143337872;99;94;29;92;;
sp5;10;0;0;0;0;0;0;1;0;0;0;68.81489477;6.136357379;72;11348333.33;2497666.667;82.07889265;2.275913474;17.92110735;2.275913474;94;93;27;94;;
sp2st1-sp1;10;1;1;0;0;0;0;0;0;0;0;69.83086648;2.022450577;97;10336333.33;2704666.667;80.80520346;8.149180264;19.19479654;8.149180264;64;95;26;95;;
sp2st2-sp1;10;1;0;1;0;0;0;0;0;0;0;90.11565293;0.23612377;87;8397000;2822666.667;74.73278357;2.239454722;25.26721643;2.239454722;30;96;24;97;;
sp2st1-sp1-sp5;10;1;1;0;0;0;0;1;0;0;0;73.78129922;0.725588668;96;9827666.667;3456333.333;74.63383835;7.439591215;25.36616165;7.439591215;52;98;23;98;;
sp2st2-sp1-sp5;10;1;0;1;0;0;0;1;0;0;0;89.10064867;1.276335328;84;9588000;2395333.333;80.01127815;1.718242579;19.98872185;1.718242579;46;90;25;96;;
sp4;10;0;0;0;0;0;1;0;0;0;0;72.00913942;1.176714109;81;10730666.67;1324085.596;91.18414237;2.925360808;8.815857633;2.925360808;80;66;31;90;;
sp2st1-sp4;10;0;1;0;0;0;1;0;0;0;0;71.47732684;2.099820954;74;10498666.67;1115716.013;95.7408536;1.369450984;4.259146404;1.369450984;68;57;44;77;;
sp2st1-sp3;10;0;1;0;0;1;0;0;0;0;0;70.19926111;1.341332119;67;10857333.33;1378706.103;99.23862408;0.249088741;0.761375917;0.249088741;82;68;93;28;;
sp2st1-sp6;10;0;1;0;0;0;0;0;1;0;0;69.20640133;1.062167184;60;9563111.111;1289508.012;98.74515221;0.507244064;1.254847785;0.507244064;45;64;75;46;;
sp2st1-sp1-sp3;10;1;1;0;0;1;0;0;0;0;0;68.79467545;2.228341805;98;10459111.11;1277313.655;99.06041858;0.06144039;0.939581423;0.06144039;66;63;89;32;;
sp2st1-sp1-sp6;10;1;1;0;0;0;0;0;1;0;0;90.28590819;1.370635876;48;10585555.56;1879029.405;99.00189987;0.529595205;0.998100129;0.529595205;75;83;85;36;;
sp2st1-sp1-sp4;10;1;1;0;0;0;1;0;0;0;0;66.8925877;0.269428156;35;10576222.22;802020.8427;95.76484801;0.745820318;4.235151993;0.745820318;73;41;45;76;;
sp2st1-sp1-sp4-sp5;10;1;1;0;0;0;1;1;0;0;0;62.65738668;5.59145192;43;10757777.78;1257857.712;96.39154801;1.481392613;3.608451988;1.481392613;81;62;51;70;;
sp2st1-sp1-sp5-sp3;10;1;1;0;0;1;0;1;0;0;0;66.11845729;3.509001138;27;10618666.67;977287.4023;97.48360437;0.643894476;2.516395633;0.643894476;78;48;62;59;;
sp2st1-sp1-sp3-sp6;10;1;1;0;0;1;0;0;1;0;0;53.43000946;0.899567279;54;11295333.33;1351904.774;99.24691319;0.177916943;0.753086808;0.177916943;93;67;94;27;;
sp2st1-sp1-sp4-sp6;10;1;1;0;0;0;1;0;1;0;0;67.50159889;4.391125861;88;9882222.222;301535.003;99.0079931;0.04197011;0.992006902;0.04197011;53;25;87;34;;
sp2st1-sp1-sp5-sp6;10;1;1;0;0;0;0;1;1;0;0;73.82116214;0.486803683;91;7057777.778;521266.3592;98.53784518;0.39035662;1.462154823;0.39035662;22;34;70;51;;
sp2st1-sp1-sp3-sp6;10;1;1;0;0;1;0;0;1;0;0;75.09279465;1.531541012;92;8914222.222;1210327.698;99.02835005;0.23386423;0.971649948;0.23386423;36;59;88;33;;
sp2st1-sp1-sp5-sp3-sp6;10;1;1;0;0;1;0;1;1;0;0;75.73182751;2.74188397;90;9711555.556;1693299.154;98.96819163;0.232349198;1.031808373;0.232349198;48;77;81;40;;
sp2st1-sp1-sp4-sp5-sp3-sp6;10;1;1;0;0;1;1;1;1;0;0;74.91480898;2.565297106;94;8118888.889;498401.0978;97.2961933;0.36491103;2.703806703;0.36491103;29;33;61;60;;
sp2st1-sp4-sp5;10;1;0;0;0;0;1;1;0;0;0;76.52096876;1.228012537;93;8479555.556;91668.21548;95.0742573;0.730373536;4.925742705;0.730373536;32;22;39;82;;
sp2st1-sp4-sp5-sp3;10;0;1;0;0;1;1;1;0;0;0;75.95484569;2.459263932;86;9903555.556;704166.2963;96.28156342;0.130544582;3.718436584;0.130544582;54;40;48;73;;
sp2st1-sp4-sp5-sp3-sp6;10;0;1;0;0;1;1;1;1;0;0;72.51307473;1.996954023;89;7809555.556;961294.8572;95.71555226;1.01173619;4.284447741;1.01173619;26;44;42;79;;
sp2st1-sp4-sp3;10;0;1;0;0;1;1;0;0;0;0;74.47306143;1.909197901;85;9918444.444;1745497.686;95.03347984;1.14704231;4.966520158;1.14704231;56;79;38;83;;
sp2st1-sp4-sp6;10;0;1;0;0;0;1;0;1;0;0;72.09062683;4.497047051;75;10259333.33;1728091.133;95.20929073;0.368510343;4.790709269;0.368510343;62;78;41;80;;
sp2st1-sp5-sp3;10;0;1;0;0;1;0;1;0;0;0;70.21427195;1.856309742;76;9817111.111;1877280.171;98.87988318;0.190899328;1.120116824;0.190899328;50;82;79;42;;
